SmokeDensity,Temperature,WindSpeed,NO2_ppm,CO_ppm,SO2_ppm,Humidity,TimeOfDay,DayOfWeek,Distance_m,BlackCarbonRatio,SourceType,PM25
52.3,28.1,7.0,60.2,15.5,7.0,60.1,19,3,25.8,0.352,Vehicle,105.4
86.2,45.6,1.1,25.6,31.1,15.5,40.8,7,5,84.9,0.609,Garbage Burning,190.1
96.0,37.5,1.4,85.5,6.8,66.9,53.3,11,4,190.1,0.353,Factory,194.0
77.7,46.7,3.7,27.3,43.1,21.2,47.8,20,3,56.9,0.661,Garbage Burning,173.6
80.9,42.9,2.4,29.2,50.8,17.3,49.5,6,0,82.6,0.828,Garbage Burning,225.2
43.1,26.5,5.5,81.4,21.6,2.0,66.2,18,5,49.8,0.254,Vehicle,151.3
83.2,41.1,1.0,28.8,42.6,14.1,33.6,20,1,77.9,0.818,Garbage Burning,241.7
82.5,36.9,3.1,70.7,7.8,61.6,37.0,17,5,229.2,0.477,Factory,172.9
67.7,31.1,10.9,98.6,17.3,8.2,45.1,17,1,19.1,0.295,Vehicle,146.0
80.7,42.6,6.0,37.3,38.0,12.4,25.5,7,6,61.9,0.894,Garbage Burning,193.1
55.2,29.0,8.5,88.1,26.1,5.0,42.3,19,1,13.0,0.265,Vehicle,147.9
61.9,23.4,8.0,89.4,17.7,7.4,63.9,17,2,34.8,0.223,Vehicle,140.8
79.5,42.6,1.8,36.6,40.6,8.0,28.2,7,2,44.9,0.641,Garbage Burning,203.2
33.4,27.5,12.6,93.3,19.6,13.8,57.8,9,2,37.9,0.197,Vehicle,131.3
83.5,50.3,2.8,29.7,35.2,18.8,28.3,5,3,56.7,0.603,Garbage Burning,190.7
45.7,33.0,6.0,103.4,22.9,15.5,68.3,7,5,15.7,0.283,Vehicle,182.7
47.1,31.0,9.7,98.6,21.9,7.5,58.2,7,4,14.4,0.275,Vehicle,164.8
85.3,39.2,1.0,78.5,9.2,63.2,40.6,7,1,233.0,0.343,Factory,190.8
75.9,40.7,2.8,21.1,43.7,16.4,37.4,18,3,75.6,0.677,Garbage Burning,201.2
81.6,43.2,2.6,15.0,42.7,17.9,31.6,17,4,61.8,0.78,Garbage Burning,223.0
45.2,28.6,8.0,82.6,22.3,5.7,65.0,7,2,50.8,0.364,Vehicle,147.6
45.2,31.9,6.5,113.1,23.5,7.5,51.3,7,5,35.1,0.237,Vehicle,186.9
49.4,26.1,8.0,77.0,21.8,8.1,46.8,8,4,42.5,0.184,Vehicle,137.0
45.7,22.8,7.8,87.1,20.8,11.2,47.4,18,5,19.3,0.396,Vehicle,152.5
85.2,48.2,4.5,33.7,45.8,15.2,40.7,18,0,48.0,0.723,Garbage Burning,210.3
85.1,49.1,1.2,30.4,38.9,13.8,50.1,18,6,70.6,0.723,Garbage Burning,213.2
89.8,39.0,1.4,71.7,9.9,50.0,27.5,9,4,150.4,0.323,Factory,176.9
81.1,41.2,2.2,61.9,13.3,52.6,56.3,8,3,215.6,0.422,Factory,168.2
71.4,46.8,0.9,34.9,32.4,21.9,48.5,5,0,10.3,0.778,Garbage Burning,188.7
85.4,43.8,2.3,28.2,32.2,14.5,52.7,5,1,68.1,0.625,Garbage Burning,183.5
91.2,42.6,3.8,29.6,41.6,20.3,48.7,18,2,47.5,0.775,Garbage Burning,202.4
86.5,41.0,1.6,60.7,12.6,49.4,46.5,11,5,157.2,0.392,Factory,156.1
89.0,38.5,1.5,76.8,12.4,56.1,61.8,7,1,229.8,0.339,Factory,172.7
51.3,35.4,7.3,115.1,23.5,10.9,53.9,18,2,25.7,0.406,Vehicle,195.2
72.8,45.9,4.4,31.3,43.1,19.2,26.1,19,1,45.7,0.764,Garbage Burning,217.0
37.1,32.4,9.8,108.8,20.0,11.9,65.8,9,3,15.8,0.219,Vehicle,152.8
56.5,25.4,11.7,92.0,19.8,7.9,68.2,18,3,23.8,0.147,Vehicle,131.4
82.2,41.5,1.2,66.9,11.5,61.7,37.0,18,4,253.9,0.452,Factory,193.1
80.5,51.6,1.5,35.6,38.7,19.6,37.7,20,0,45.5,0.647,Garbage Burning,217.6
36.5,30.6,9.4,108.1,26.5,12.1,65.4,7,3,23.5,0.262,Vehicle,154.7
85.9,39.0,2.9,90.8,9.6,63.7,44.0,15,1,226.8,0.458,Factory,179.7
35.6,33.6,5.2,103.0,20.9,3.1,50.0,18,2,33.6,0.237,Vehicle,186.9
80.7,44.1,4.9,34.8,38.6,19.4,56.3,7,2,41.9,0.683,Garbage Burning,174.1
87.4,40.9,2.7,87.3,12.7,63.7,47.3,19,2,89.3,0.353,Factory,181.9
53.9,31.2,6.6,105.2,26.8,10.3,49.6,8,3,13.3,0.216,Vehicle,192.4
77.6,40.7,4.3,77.3,5.8,57.7,56.8,10,4,218.3,0.356,Factory,142.4
33.1,30.5,6.2,98.8,17.7,7.6,44.4,8,5,38.2,0.225,Vehicle,173.3
91.8,39.6,5.0,68.7,9.1,63.2,25.1,10,3,235.5,0.42,Factory,178.2
76.5,52.8,4.2,31.8,45.6,13.6,37.1,5,4,48.2,0.719,Garbage Burning,197.4
82.5,41.8,3.2,94.7,7.5,60.2,42.6,16,5,181.6,0.367,Factory,173.3
79.5,48.5,4.0,41.5,33.0,17.3,45.3,5,1,82.4,0.705,Garbage Burning,173.7
76.4,48.3,1.2,27.2,35.0,13.0,31.1,5,3,33.4,0.736,Garbage Burning,208.0
57.4,36.1,9.9,93.4,17.4,9.3,53.5,8,5,18.2,0.269,Vehicle,149.8
88.3,35.4,5.2,71.8,10.1,58.2,52.1,10,5,150.3,0.464,Factory,138.2
86.2,38.2,2.3,74.7,8.2,49.0,52.3,12,5,219.3,0.366,Factory,161.7
78.9,40.7,3.0,59.9,10.5,54.9,33.3,10,4,208.3,0.44,Factory,164.2
82.0,39.5,3.8,55.7,8.3,53.6,57.1,10,4,254.6,0.395,Factory,141.7
82.7,45.3,2.8,45.9,35.6,17.5,43.3,19,6,46.4,0.644,Garbage Burning,200.1
77.0,40.6,5.5,68.6,11.6,64.7,49.2,16,2,211.6,0.387,Factory,150.0
45.1,29.3,4.7,113.2,22.5,8.7,58.5,8,3,25.3,0.269,Vehicle,201.4
36.8,27.0,9.1,89.7,24.4,6.2,35.3,7,1,22.3,0.222,Vehicle,148.5
74.7,46.6,2.0,46.5,46.7,11.2,41.2,6,5,63.6,0.764,Garbage Burning,236.9
77.7,38.8,4.0,75.3,12.8,45.8,44.7,7,2,234.4,0.419,Factory,157.7
83.1,38.3,2.2,66.0,13.8,53.8,34.0,15,1,228.8,0.391,Factory,179.2
76.9,47.3,6.0,40.2,42.5,14.9,39.9,20,1,62.1,0.687,Garbage Burning,183.6
29.3,33.0,8.3,79.7,23.0,12.2,63.6,19,3,36.0,0.297,Vehicle,133.8
45.6,33.8,7.9,92.0,19.1,2.9,59.3,8,2,36.3,0.287,Vehicle,154.2
78.1,43.8,1.0,31.3,39.6,17.3,39.5,19,2,17.7,0.737,Garbage Burning,225.0
85.9,40.5,4.4,66.2,12.5,51.6,34.7,9,4,265.6,0.469,Factory,156.2
35.8,33.0,10.4,85.9,22.9,11.3,57.3,7,5,18.4,0.219,Vehicle,132.1
48.8,21.7,9.6,114.5,21.6,9.4,64.2,9,2,36.1,0.315,Vehicle,160.4
82.3,45.5,3.2,51.1,48.2,18.0,18.0,20,3,58.2,0.78,Garbage Burning,247.8
85.1,52.1,3.1,36.8,38.0,20.9,39.0,8,1,48.4,0.674,Garbage Burning,201.9
84.4,47.0,2.1,28.3,45.3,21.2,34.0,20,0,50.4,0.714,Garbage Burning,231.3
53.9,35.2,8.3,93.5,18.3,11.2,47.5,9,1,17.3,0.287,Vehicle,148.5
83.8,36.3,1.8,58.0,5.0,57.7,54.8,18,5,136.4,0.366,Factory,156.1
78.8,39.2,3.4,32.8,41.5,9.2,30.6,18,5,69.6,0.744,Garbage Burning,208.9
44.5,32.2,9.8,75.3,21.4,8.9,56.2,18,5,7.1,0.353,Vehicle,133.1
77.9,43.9,2.6,67.6,13.9,53.6,45.6,8,2,214.7,0.515,Factory,172.2
87.4,40.9,2.8,44.4,28.1,19.3,36.4,18,1,33.6,0.751,Garbage Burning,191.9
34.4,22.7,8.1,106.4,20.0,5.3,64.7,18,2,27.2,0.355,Vehicle,151.0
85.7,41.3,1.9,45.9,40.1,19.4,38.1,19,5,36.9,0.649,Garbage Burning,217.3
72.7,43.4,4.4,24.2,35.5,16.6,46.1,5,4,52.1,0.606,Garbage Burning,172.3
85.0,38.2,1.2,69.3,17.4,70.5,50.1,11,4,256.2,0.471,Factory,203.1
77.8,55.0,2.7,30.2,28.0,16.6,40.0,19,1,43.1,0.799,Garbage Burning,171.4
83.2,45.8,2.7,39.0,34.2,20.3,47.5,5,0,64.7,0.672,Garbage Burning,182.6
84.1,35.8,5.7,67.8,10.5,62.1,53.2,16,2,192.8,0.397,Factory,150.5
90.3,41.0,1.8,64.0,10.8,59.8,44.7,7,1,193.5,0.463,Factory,178.6
84.9,39.2,4.0,78.4,11.8,70.4,49.3,9,1,224.7,0.257,Factory,173.5
93.7,46.1,0.5,38.9,23.6,12.7,37.7,6,4,41.2,0.781,Garbage Burning,205.3
91.4,47.1,0.5,44.9,42.8,16.9,32.9,8,3,41.5,0.655,Garbage Burning,244.0
78.6,47.1,0.5,28.1,40.0,17.1,47.5,20,0,61.7,0.68,Garbage Burning,213.2
30.3,24.5,6.7,107.1,24.6,4.0,50.1,19,2,16.7,0.215,Vehicle,184.6
86.9,35.3,1.8,54.0,13.9,61.8,60.0,9,2,227.7,0.432,Factory,158.3
56.4,26.1,6.9,93.6,20.4,12.9,51.8,8,4,25.8,0.27,Vehicle,175.6
85.1,50.2,3.9,26.1,30.2,16.1,40.2,6,2,51.7,0.643,Garbage Burning,166.4
84.8,47.3,2.1,39.5,40.8,14.3,35.1,5,0,102.0,0.63,Garbage Burning,221.3
78.2,41.6,1.6,26.2,47.0,21.6,30.2,7,6,32.3,0.743,Garbage Burning,248.3
90.8,40.9,5.3,66.3,14.9,56.0,51.9,7,5,280.3,0.428,Factory,158.7
43.2,29.8,10.2,115.0,27.9,9.9,56.1,8,1,18.4,0.198,Vehicle,167.0
89.1,38.9,2.6,80.2,11.2,57.7,43.3,13,3,238.7,0.394,Factory,174.2
79.5,36.9,4.8,74.9,11.0,66.5,48.8,19,1,247.4,0.453,Factory,156.4
92.7,37.3,4.1,67.7,11.1,69.5,48.0,15,3,204.2,0.404,Factory,174.3
85.5,40.1,5.9,62.1,11.7,62.6,56.4,13,2,238.0,0.423,Factory,148.5
53.1,34.4,9.0,124.8,22.5,8.9,57.0,7,3,24.9,0.259,Vehicle,182.2
82.7,39.8,1.8,66.1,10.1,65.9,49.9,18,4,179.7,0.385,Factory,184.4
81.9,50.6,2.2,41.4,36.1,16.5,49.2,19,3,16.4,0.879,Garbage Burning,208.2
39.1,35.5,7.1,101.2,25.0,7.0,51.6,19,4,30.6,0.246,Vehicle,174.4
89.1,36.8,0.5,80.7,9.7,69.1,50.4,14,2,165.8,0.445,Factory,210.0
84.1,50.8,3.5,35.5,38.3,17.3,44.7,20,1,41.5,0.775,Garbage Burning,191.8
76.4,40.9,0.8,69.6,13.3,59.3,54.2,18,3,150.3,0.447,Factory,178.7
94.3,36.5,5.5,97.7,9.7,70.0,40.5,16,4,173.1,0.344,Factory,172.8
88.7,40.5,5.2,82.1,7.1,56.6,36.4,18,5,199.1,0.417,Factory,165.4
48.6,26.5,8.4,102.1,30.6,8.2,66.1,8,5,26.1,0.31,Vehicle,166.0
22.6,34.2,11.1,102.1,17.4,6.9,73.7,17,3,26.4,0.224,Vehicle,134.1
40.0,37.5,4.7,92.4,27.7,6.2,50.4,7,2,13.4,0.17,Vehicle,166.8
71.2,40.4,2.2,24.3,32.7,16.7,39.8,8,6,50.7,0.668,Garbage Burning,182.1
79.3,47.2,2.7,34.1,46.2,13.6,27.0,20,0,34.4,0.72,Garbage Burning,228.9
41.9,36.6,8.5,104.0,21.2,2.3,50.3,7,1,27.2,0.288,Vehicle,178.8
32.6,34.3,7.6,82.8,22.3,6.9,47.0,18,2,27.1,0.354,Vehicle,147.9
34.3,39.6,7.1,81.7,25.3,6.2,37.0,9,1,26.2,0.3,Vehicle,165.5
90.3,48.5,2.4,38.4,29.7,14.9,34.2,7,3,58.1,0.685,Garbage Burning,183.3
75.8,45.4,3.9,30.5,38.7,15.0,25.8,20,2,56.1,0.715,Garbage Burning,197.2
92.3,45.8,1.5,18.3,30.9,18.0,43.9,17,6,60.3,0.746,Garbage Burning,193.6
82.1,48.0,0.5,40.5,37.8,18.4,43.3,20,2,44.6,0.658,Garbage Burning,207.9
45.2,33.2,7.0,99.3,17.6,6.0,69.0,19,5,25.6,0.299,Vehicle,160.0
87.2,45.7,3.7,34.1,46.1,12.7,52.5,19,6,60.5,0.837,Garbage Burning,200.9
41.0,26.7,7.0,92.0,21.5,2.8,55.0,8,1,19.2,0.35,Vehicle,160.6
46.9,27.5,7.6,108.4,27.4,6.8,50.4,18,4,27.8,0.299,Vehicle,184.4
83.5,46.6,2.9,48.0,43.7,6.3,49.6,18,0,44.9,0.771,Garbage Burning,207.8
40.6,33.8,5.3,83.2,21.6,5.1,49.0,17,5,19.5,0.313,Vehicle,154.2
65.0,52.6,0.6,30.0,33.8,6.2,18.0,5,3,31.4,0.718,Garbage Burning,212.0
73.9,50.6,0.7,39.1,30.3,7.2,39.8,6,6,94.1,0.572,Garbage Burning,199.8
88.9,41.4,1.7,70.6,14.6,41.7,60.8,11,4,166.7,0.37,Factory,158.9
83.5,50.0,1.8,60.7,15.4,52.2,52.3,16,5,91.9,0.363,Factory,155.0
78.4,40.2,0.5,38.7,37.5,18.5,43.9,5,1,42.4,0.763,Garbage Burning,217.7
51.2,28.8,11.3,107.8,18.0,13.8,54.3,19,3,27.9,0.281,Vehicle,150.8
82.1,44.4,3.5,37.5,42.0,16.8,36.8,5,2,79.7,0.734,Garbage Burning,207.0
93.2,41.5,1.0,31.2,40.1,15.5,18.0,20,4,73.7,0.672,Garbage Burning,237.0
78.7,45.8,1.8,25.3,26.7,13.4,28.9,8,4,45.5,0.68,Garbage Burning,178.9
87.0,34.7,0.9,85.6,15.5,54.0,25.0,13,1,213.7,0.379,Factory,201.9
88.1,39.2,3.2,70.4,11.4,66.4,54.7,13,4,209.3,0.467,Factory,160.8
50.1,26.6,6.9,85.0,17.1,3.1,64.5,8,2,29.0,0.249,Vehicle,140.9
84.3,44.7,2.0,58.2,11.3,50.7,49.5,19,3,236.5,0.471,Factory,167.9
39.0,30.8,10.1,102.9,21.3,4.3,34.8,18,2,31.7,0.27,Vehicle,163.9
39.6,27.8,9.6,95.9,22.3,8.3,49.7,17,5,22.8,0.368,Vehicle,156.5
76.2,41.3,2.1,70.0,12.0,67.5,51.2,10,4,196.2,0.41,Factory,178.6
39.6,26.0,5.0,100.9,21.0,9.8,67.7,19,5,33.6,0.274,Vehicle,168.3
83.9,37.6,0.7,57.2,12.3,55.5,34.1,12,2,158.5,0.34,Factory,175.2
78.2,46.4,2.7,21.3,33.8,16.2,50.2,18,5,48.8,0.645,Garbage Burning,180.2
89.1,40.1,3.3,71.3,13.3,53.1,43.2,19,1,223.3,0.429,Factory,169.9
70.4,44.4,1.4,29.2,45.6,16.2,40.3,5,3,19.7,0.717,Garbage Burning,218.8
51.6,29.4,6.8,63.9,22.2,7.3,57.6,9,1,26.4,0.333,Vehicle,120.5
32.7,34.5,7.6,82.3,28.7,8.0,59.0,19,3,33.7,0.252,Vehicle,156.4
89.8,36.9,4.5,63.4,17.6,49.8,46.7,19,5,256.8,0.48,Factory,153.5
46.1,23.8,6.6,110.8,18.6,5.8,64.6,17,5,22.3,0.293,Vehicle,186.3
44.1,26.4,5.1,97.3,26.0,5.8,59.5,18,2,15.0,0.241,Vehicle,177.3
81.6,37.5,1.9,72.9,11.3,54.1,55.3,17,5,80.0,0.303,Factory,161.5
63.5,22.2,11.6,91.0,20.9,7.5,41.6,7,1,16.1,0.387,Vehicle,147.0
71.5,43.9,1.4,39.8,42.6,20.8,27.3,8,5,50.5,0.708,Garbage Burning,228.1
81.4,44.6,1.0,39.0,46.8,12.6,44.6,19,6,49.9,0.677,Garbage Burning,221.4
75.4,47.2,3.3,71.5,15.4,61.1,41.3,8,2,268.4,0.483,Factory,172.9
73.6,49.2,4.2,25.8,34.6,20.2,47.0,7,5,49.6,0.757,Garbage Burning,181.3
82.4,34.4,6.1,67.4,8.6,54.4,47.7,14,3,197.7,0.413,Factory,143.4
40.8,38.8,8.0,75.0,30.8,8.1,58.4,18,5,16.0,0.321,Vehicle,145.2
81.7,49.8,3.6,45.6,33.5,18.1,43.3,5,1,48.3,0.821,Garbage Burning,191.2
76.4,43.7,3.4,26.3,40.6,11.9,55.1,17,5,20.1,0.743,Garbage Burning,177.8
75.0,40.1,4.1,40.7,23.8,9.6,35.3,7,3,68.5,0.64,Garbage Burning,162.9
34.0,24.5,9.1,78.1,18.9,10.8,59.7,19,2,27.8,0.381,Vehicle,128.3
80.4,36.5,3.9,70.4,11.1,57.3,47.2,15,4,259.8,0.467,Factory,155.1
76.0,52.2,3.9,43.3,37.4,11.7,41.4,18,4,20.3,0.784,Garbage Burning,182.9
62.9,28.9,10.9,112.5,22.6,12.6,60.2,17,4,27.1,0.248,Vehicle,166.6
95.3,43.0,1.4,48.4,33.3,13.0,36.0,5,2,44.0,0.801,Garbage Burning,226.1
85.3,43.4,3.3,29.2,42.2,12.0,28.3,20,6,83.6,0.681,Garbage Burning,212.1
90.2,45.9,3.5,83.7,10.1,63.5,40.6,18,4,211.8,0.484,Factory,183.1
47.0,25.7,10.8,78.4,15.7,10.2,51.8,7,2,24.5,0.339,Vehicle,119.2
86.6,36.7,0.5,75.7,10.9,78.2,49.6,16,2,254.7,0.428,Factory,206.0
30.1,32.0,6.2,91.1,19.3,8.4,62.5,9,5,26.2,0.345,Vehicle,155.7
84.8,46.3,0.5,15.0,35.8,16.5,37.9,17,3,24.6,0.81,Garbage Burning,223.5
49.2,33.6,5.3,97.4,25.1,6.2,58.4,7,4,37.1,0.248,Vehicle,195.1
88.7,46.2,1.6,20.6,40.0,10.1,38.0,17,5,38.0,0.783,Garbage Burning,220.9
45.0,24.8,10.6,93.5,21.0,10.8,49.9,9,2,40.1,0.164,Vehicle,136.7
78.8,36.4,2.2,41.4,30.5,12.4,34.4,8,6,42.3,0.768,Garbage Burning,198.6
82.5,45.4,4.1,34.5,42.1,13.3,34.6,5,5,64.0,0.688,Garbage Burning,196.2
86.7,37.6,1.7,67.1,7.6,62.7,41.1,13,1,262.2,0.441,Factory,176.4
86.7,38.1,1.7,77.8,9.6,57.9,43.8,19,5,169.8,0.43,Factory,184.2
39.3,22.9,7.6,91.7,22.1,9.4,55.2,8,5,28.1,0.283,Vehicle,163.0
75.7,46.3,3.6,44.1,37.2,5.0,40.0,17,2,49.2,0.552,Garbage Burning,170.4
75.1,48.1,1.2,43.9,39.6,15.6,43.2,17,0,58.0,0.646,Garbage Burning,199.9
83.9,38.8,2.8,79.5,12.8,53.6,41.6,13,2,178.2,0.423,Factory,177.5
75.1,48.7,2.6,35.9,38.8,17.0,53.5,5,2,56.4,0.749,Garbage Burning,190.7
46.1,30.7,8.6,92.0,27.7,10.0,60.2,9,2,32.9,0.34,Vehicle,151.0
80.1,42.5,3.1,74.0,9.9,59.7,40.2,14,4,199.0,0.353,Factory,158.0
71.3,45.1,5.3,45.0,34.4,10.1,45.7,5,3,63.9,0.562,Garbage Burning,155.6
45.9,27.5,6.4,105.4,17.1,2.0,51.8,8,3,20.1,0.223,Vehicle,173.6
81.3,46.5,4.9,36.3,42.0,21.2,43.9,18,1,53.7,0.651,Garbage Burning,191.8
40.7,32.3,10.1,113.1,21.9,8.4,58.7,17,2,39.7,0.343,Vehicle,165.6
73.3,47.8,2.5,30.0,47.8,10.1,38.2,5,4,52.9,0.589,Garbage Burning,202.1
47.9,27.2,7.4,88.2,19.7,6.4,55.4,9,2,26.5,0.228,Vehicle,157.8
56.3,31.4,7.3,109.2,21.1,6.5,54.2,18,2,35.6,0.311,Vehicle,176.5
69.5,50.6,3.1,31.2,31.2,9.4,20.6,5,2,50.7,0.683,Garbage Burning,192.2
86.8,49.8,3.2,39.4,28.3,20.2,41.9,17,1,34.6,0.645,Garbage Burning,188.1
86.5,39.1,1.6,71.5,11.5,64.1,45.1,13,3,182.1,0.383,Factory,181.5
77.2,41.7,2.0,72.6,8.3,63.1,47.1,16,4,277.2,0.541,Factory,182.6
86.7,38.1,3.3,79.0,7.3,61.4,34.9,18,1,179.4,0.374,Factory,168.3
33.4,33.4,8.6,108.8,19.3,15.9,64.8,7,5,10.2,0.261,Vehicle,167.4
83.8,35.3,0.5,62.2,10.8,57.5,44.4,10,2,160.0,0.398,Factory,193.6
42.1,24.3,10.0,107.0,22.9,6.0,55.8,17,1,16.9,0.256,Vehicle,151.1
86.6,42.1,3.1,74.5,7.6,59.5,59.5,16,2,191.7,0.411,Factory,162.5
38.7,28.6,7.2,80.5,19.6,5.5,70.6,9,1,26.6,0.278,Vehicle,140.4
84.8,51.9,3.9,26.7,24.1,21.9,42.7,18,1,60.0,0.783,Garbage Burning,166.1
93.2,46.2,3.1,26.6,48.6,17.1,34.1,17,4,58.6,0.741,Garbage Burning,231.6
46.6,26.3,7.6,99.9,16.9,10.4,43.5,8,5,19.0,0.295,Vehicle,159.6
80.5,40.8,3.8,74.2,13.7,60.8,44.6,13,4,238.5,0.404,Factory,165.7
54.2,26.5,5.0,118.2,27.0,12.8,54.6,18,3,28.4,0.24,Vehicle,209.9
92.3,40.4,4.3,73.0,7.9,53.0,40.4,17,4,193.9,0.441,Factory,158.4
77.0,40.9,3.3,31.1,34.6,11.5,36.2,8,3,53.6,0.674,Garbage Burning,186.2
92.7,39.6,3.1,68.5,12.2,54.9,53.1,7,4,234.3,0.412,Factory,169.4
94.4,42.5,0.5,76.1,12.8,49.8,59.6,16,4,199.3,0.425,Factory,178.0
85.8,45.7,0.7,22.0,40.0,6.3,34.3,20,5,81.9,0.746,Garbage Burning,239.8
25.8,26.8,8.7,109.2,31.6,7.7,44.0,8,2,24.2,0.275,Vehicle,178.1
51.3,32.0,4.7,80.8,25.0,6.2,39.9,17,2,21.9,0.351,Vehicle,172.6
83.3,37.7,5.3,79.6,10.9,46.4,51.4,9,2,173.0,0.441,Factory,133.0
